0,default,default,default,Manager,0
1,pvkw,vcir,aowiki,Manager,1
2,ubwh,faae,dcilzq,Receptionist,1
3,cakv,smuo,cbdzum,HouseCleaning,1
4,uycb,uclk,ohczpx,Receptionist,1
5,wwvy,ivmh,mbhcos,HouseCleaning,1
6,phvs,kxgi,tuwqvr,Manager,2
7,pxhp,mfqt,dldegw,Receptionist,2
8,lkso,fokq,bwgiiv,HouseCleaning,2
9,jdea,pikr,cpemaj,Receptionist,2
10,qcye,kcce,zcqowl,HouseCleaning,2
11,txcd,rnrt,yevnfk,Manager,3
12,uifp,xtue,ndcxcz,Receptionist,3
13,nvwy,xhdm,bgahbb,HouseCleaning,3
14,gimx,raiy,igapmp,Receptionist,3
15,ylwt,jgfm,mtoqvt,HouseCleaning,3
16,qulx,keof,xrvyyi,Manager,4
17,jjcy,qlvn,comacu,Receptionist,4
18,szdi,tkwq,rpiwwj,HouseCleaning,4
19,dioo,bxif,eluvvn,Receptionist,4
20,tkwd,zuex,cxkmwa,HouseCleaning,4
21,wcbr,wzpf,qniesw,Manager,5
22,hhiv,pkrp,pzrmdq,Receptionist,5
23,xlrx,gbpe,rpwrpj,HouseCleaning,5
24,bzfa,bjfo,pzauxd,Receptionist,5
25,twzv,yspt,qkvblv,HouseCleaning,5
26,vecy,ffug,euzuwc,Manager,6
27,vsxs,ujzb,fnotnx,Receptionist,6
28,bbeo,xrun,hihxvg,HouseCleaning,6
29,ywsf,rqnz,fmkeon,Receptionist,6
30,wpjw,riyk,cfkusl,HouseCleaning,6
31,xleo,dnhr,dchttd,Manager,7
32,fvhk,pjmv,vhsjot,Receptionist,7
33,vaum,anuu,ndxcdd,HouseCleaning,7
34,cfgs,oabv,osfztx,Receptionist,7
35,urgu,yecb,kpxaal,HouseCleaning,7
36,ygcv,paxm,muzsxz,Manager,8
37,kfwd,qwau,qccpgc,Receptionist,8
38,igtw,kuzq,ecjndh,HouseCleaning,8
39,ufsn,dzmu,edzysq,Receptionist,8
40,eqaq,qkgq,fhqejy,HouseCleaning,8
41,qldv,xppt,zmpxkq,Manager,9
42,ihtw,opsx,ogcfjd,Receptionist,9
43,zavp,sbas,smahre,HouseCleaning,9
44,kyft,javi,jpedvi,Receptionist,9
45,rbcg,kccb,wtlueg,HouseCleaning,9
46,blzm,sqea,jgpcgr,Manager,10
47,kkiq,nosi,dzrmop,Receptionist,10
48,pujh,jsib,xdgsrg,HouseCleaning,10
49,qoeb,nurg,odquzq,Receptionist,10
50,bolv,tshg,uzuucv,HouseCleaning,10
51,avlw,ginp,sdbtmj,Manager,11
52,zfol,wijr,vkjsxp,Receptionist,11
53,udqf,qhdy,hmoakl,HouseCleaning,11
54,emfq,cwxp,ldszvx,Receptionist,11
55,foyk,qrqd,chlctu,HouseCleaning,11
56,lutl,feie,rguerm,Manager,12
57,myds,asob,nsatdp,Receptionist,12
58,hfnd,dzoa,iyjpsz,HouseCleaning,12
59,gvjd,hlns,pvymlj,Receptionist,12
60,ybwx,robw,zvkkvz,HouseCleaning,12
61,apsx,qefo,sopsye,Manager,13
62,resx,fjkt,foojby,Receptionist,13
63,aryp,aitp,qthoqs,HouseCleaning,13
64,srro,betz,esvrte,Receptionist,13
65,qjgz,ohcn,hpxxpq,HouseCleaning,13
66,jlqi,prnr,bbekrp,Manager,14
67,iwao,zhea,nimkmi,Receptionist,14
68,udnn,pdsv,rhoqci,HouseCleaning,14
69,smez,jjzy,vochus,Receptionist,14
70,itja,rxbg,srukar,HouseCleaning,14
